iter	RMSE
349	45.72561573
350	45.66923145
351	45.66704704
352	45.37584716
353	45.2770244
354	45.27686877
355	45.26862134
356	45.26862134
357	45.26862134
358	45.26862134
359	45.15819259
360	45.15793779
361	45.15793779
362	45.15612668
363	45.15599849
364	45.15400626
365	45.14944806
366	44.95278792
367	44.77093503
368	44.77093494
369	44.77093494
370	44.76220764
371	44.76220764
372	44.75893676
373	44.75893676
374	44.7585916
375	44.75855224
376	44.75507203
377	44.75506121
378	44.74827787
379	44.74712119
380	44.74712119
381	44.74510598
382	44.74476433
383	44.72814701
384	44.72814701
385	44.43351545
386	44.4333852
387	44.4318724
388	44.42761769
389	44.40240738
390	44.40235058
391	44.18486693
392	44.18463226
393	44.18463226
394	44.18463226
395	44.10674901
396	43.76507985
397	43.76504467
398	43.76504466
399	43.76474425
400	43.76461452
401	43.76461251
402	43.76461251
403	43.76428781
404	43.68444374
405	43.6833928
406	43.68248416
407	43.68088721
408	43.68009553
409	43.68009553
410	43.67300093
411	43.66998957
412	43.66954769
413	43.66936609
414	43.66419827
415	43.66419109
416	43.66417232
417	43.66417232
418	43.66417232
419	43.65479003
420	43.65442812
421	43.65442812
422	43.65442812
423	43.65442332
424	43.64957031
425	43.64376113
426	43.61090641
427	43.57687861
428	43.57671963
429	43.57671657
430	43.57646283
431	43.57565552
432	43.56630283
433	43.54323416
434	43.42239371
435	43.42239371
436	43.42239371
437	43.4223937
438	43.4223937
439	43.13023439
440	43.10158115
441	43.09602348
442	43.09602348
443	42.66121365
444	42.6550147
445	42.65501468
446	42.65501466
447	42.54184121
448	42.48023634
449	42.48013085
450	42.47556006
451	42.47024282
452	42.44618406
453	42.44612487
454	42.44581395
455	42.44581395
456	42.44581394
457	42.44581394
458	42.44579919
459	42.44560658
460	42.44226755
461	42.44226755
462	42.36230072
463	42.36224456
464	42.36224456
465	42.36224456
466	42.23553845
467	42.23553837
468	42.23553837
469	42.20600343
470	42.14274655
471	42.14256035
472	42.12197741
473	42.11542563
474	42.10884634
475	42.04654704
476	42.03920479
477	42.03059024
478	42.01199756
479	42.0110801
480	41.68719401
481	41.68713065
482	41.65993359
483	41.65631346
484	41.65631344
485	41.65247003
486	41.65247003
487	41.65247002
488	41.6524107
489	41.64322487
490	41.64321809
491	41.63865248
492	41.62454511
493	41.58205704
494	41.58204305
495	41.57301037
496	41.5728787
497	41.57282808
498	41.57253642
499	41.57213877
500	41.25225434
501	41.25225434
502	41.24820271
503	41.24818549
504	41.12262666
505	41.12262666
506	41.12250378
507	41.12250378
508	40.97640852
509	40.97623023
510	40.92573377
511	40.92558316
512	40.92558316
513	40.8928002
514	40.8928002
515	40.8928002
516	40.71612525
517	40.65218691
518	40.65216757
519	40.08259483
520	40.08148806
521	40.03837354
522	40.011968
523	40.01175155
524	40.00867204
525	40.00302882
526	40.00302882
527	40.00302758
528	40.00302758
529	39.78063847
530	39.78057508
531	39.78057507
532	39.75636607
533	39.75636607
534	39.53753698
535	39.53728672
536	39.53126094
537	39.53125718
538	39.5312553
539	39.5312553
540	39.53096414
541	39.53096414
542	38.7162315
543	38.71260602
544	38.70569396
545	38.70569396
546	38.69881328
547	38.6940937
548	38.69408883
549	38.66217115
550	38.24692568
551	38.24692566
552	38.24692565
553	38.24692307
554	38.05334104
555	38.05333666
556	37.97693032
557	37.97475463
558	37.97474934
559	37.97474934
560	37.9740827
561	37.9740827
562	37.68945198
563	37.57430258
564	37.5352495
565	37.52970036
566	37.50297381
567	37.50297288
568	37.44785333
569	37.37433803
570	37.05415789
571	37.05415788
572	37.05345716
573	36.99502166
574	36.99343075
575	36.99318392
576	36.9887904
577	36.91813689
578	36.91813686
579	36.91589845
580	36.91570192
581	36.91570191
582	36.9157019
583	36.90463497
584	36.89982333
585	36.89948989
586	36.89948987
587	36.89900939
588	36.61793182
589	36.61664569
590	36.5880211
591	36.58802108
592	36.58795875
593	36.58785806
594	36.58785805
595	36.58341135
596	36.5832858
597	36.58316503
598	36.58111475
599	36.57875824
600	36.5785122
601	36.57646245
602	36.55577726
603	36.49227197
604	36.48414916
605	36.48414916
606	36.42680074
607	36.42680074
608	36.42597239
609	36.42597239
610	36.41618596
611	36.41618071
612	36.41615944
613	36.41601832
614	36.41289069
615	36.41289069
616	36.41289069
617	36.24385407
618	36.24385406
619	36.24385395
620	36.24385394
621	36.24139605
622	36.24127279
623	36.24127279
624	36.22150086
625	36.22150086
626	36.21885833
627	36.21885483
628	36.16099
629	36.14222159
630	36.14208038
631	36.10580095
632	36.08664141
633	36.08547295
634	36.08527484
635	36.08165092
636	36.08128763
637	36.07973414
638	35.65839312
639	35.65839303
640	35.65554837
641	35.63158438
642	35.61820009
643	35.61628277
644	35.61628166
645	35.61628165
646	35.60636293
647	35.60355056
648	35.6026698
649	35.60266979
650	35.6025713
651	35.47271008
652	35.46614871
653	35.46614788
654	35.46566063
655	35.46357451
656	35.46357451
657	35.46109169
658	35.46109052
659	35.4610896
660	35.46108894
661	35.46097003
662	35.4609362
663	35.44659543
664	35.41703621
665	35.3201771
666	35.3201771
667	35.30255959
668	35.30253079
669	35.30236153
670	35.29036163
671	35.28901303
672	35.28806406
673	35.28806382
674	35.28656879
675	35.2865684
676	35.14737257
677	35.14737257
678	35.14735039
679	35.05676476
680	35.05624156
681	35.05619374
682	35.05574909
683	35.0531418
684	35.0531418
685	35.0531418
686	35.0530869
687	35.0476434
688	35.04623594
689	35.04623
690	35.02389029
691	35.02242867
692	35.00894267
693	34.98762499
694	34.98762499
695	34.86528551
696	34.86004626
697	34.86004256
698	34.85998704
699	34.85998704
700	34.85923343
701	34.85923343
702	34.85923343
703	34.85794471
704	34.85794471
705	34.85794471
706	34.85665921
707	34.85665921
708	34.85665921
709	34.73977969
710	34.73977969
711	34.73533884
712	34.71906032
713	34.30933909
714	34.30933909
715	34.30933909
716	34.22767718
717	34.22756343
718	34.22756329
719	34.22756329
720	34.21752204
721	34.09447343
722	34.09446202
723	34.09013556
724	34.09013556
725	34.09013144
726	34.08952518
727	34.08760784
728	33.90866166
729	33.90866166
730	33.90866166
731	33.90866165
732	33.34504906
733	33.34407697
734	33.34383508
735	33.34383474
736	33.33833832
737	33.33626714
738	32.34730495
739	32.34730494
740	32.34670149
741	32.34099638
742	32.34096412
743	32.34096412
744	32.340853
745	32.33762745
746	32.03434667
747	32.03413319
748	32.03235993
749	32.0249559
750	32.0249559
751	32.02491706
752	32.02491571
753	32.0238978
754	31.73446254
755	31.36809152
756	31.36809149
757	31.36808891
758	31.36808889
759	31.36808524
760	31.36615978
761	31.36614854
762	31.35486223
763	31.35476741
764	31.35476741
765	31.35474863
766	31.32477733
767	31.32434492
768	31.32434492
769	31.32431423
770	31.32374336
771	31.32296949
772	31.32256421
773	30.96026942
774	30.96019314
775	30.96019309
776	30.96019305
777	30.96019302
778	30.960193
779	30.93483768
780	30.93483766
781	30.93477685
782	30.83833992
783	30.66533321
784	30.6597086
785	30.65908424
786	30.65908423
787	30.65908423
788	30.59092932
789	30.58989121
790	30.58988851
791	30.58122876
792	30.58000743
793	30.57930076
794	30.37545162
795	30.37545101
796	30.36934273
797	30.36934273
798	30.36934273
799	30.36934273
